==== START logs for container token-broker-adc-init of pod kube-system/gke-metrics-agent-8jvqc ====
==== END logs for container token-broker-adc-init of pod kube-system/gke-metrics-agent-8jvqc ====
==== START logs for container gke-metrics-agent of pod kube-system/gke-metrics-agent-8jvqc ====
2025/10/08 17:32:29 Log rate limiter is enabled.
2025-10-08T17:32:29.957Z	warn	telemetrylogs/logger.go:102	`log-profile` command line option has been deprecated. Use `service::telemetry::logs` in config instead!
2025-10-08T17:32:29.958Z	warn	telemetrylogs/logger.go:106	`log-format` command line option has been deprecated. Use `service::telemetry::logs` in config instead!
2025-10-08T17:32:29.958Z	info	service/collector.go:174	Applying configuration...
2025-10-08T17:32:29.959Z	info	uasexporter/factory.go:114	Creating UAS exporter with	{"kind": "exporter", "name": "uas", "config": {"ProjectNumber":"751556915102","Location":"us-east1","ClusterName":"pixelcluster","TenantName":"","IsMultiTenantCluster":false,"Endpoint":"us-east1-autoscaling.googleapis.com:443","MaxRetryDelay":300000000000,"RateMaxWindowSize":120000000000,"ScrapeInterval":15000000000,"MetricConnectionTimeout":30000000000,"MetricResponseTimeout":30000000000,"GKEHostName":"container.googleapis.com","UniverseDomain":"googleapis.com"}}
2025-10-08T17:32:29.959Z	info	builder/exporters_builder.go:259	Exporter was built.	{"kind": "exporter", "name": "uas"}
2025-10-08T17:32:29.959Z	info	builder/pipelines_builder.go:220	Pipeline was built.	{"pipeline_name": "metrics/resource_uas", "pipeline_datatype": "metrics"}
2025-10-08T17:32:29.959Z	info	builder/receivers_builder.go:228	Receiver was built.	{"kind": "receiver", "name": "prometheus/resourcemetrics", "datatype": "metrics"}
2025-10-08T17:32:29.960Z	info	service/service.go:86	Starting extensions...
2025-10-08T17:32:29.960Z	info	extensions/extensions.go:38	Extension is starting...	{"kind": "extension", "name": "health_check"}
2025-10-08T17:32:29.960Z	info	healthcheckextension/healthcheckextension.go:40	Starting health_check extension	{"kind": "extension", "name": "health_check", "config": {"Port":0,"TCPAddr":{"Endpoint":"127.0.0.1:8201"}}}
2025-10-08T17:32:29.960Z	info	extensions/extensions.go:42	Extension started.	{"kind": "extension", "name": "health_check"}
2025-10-08T17:32:29.961Z	info	extensions/extensions.go:38	Extension is starting...	{"kind": "extension", "name": "observability"}
2025-10-08T17:32:29.961Z	info	observabilityextension/observabilityextension.go:73	Starting observability extension	{"kind": "extension", "name": "observability"}
2025-10-08T17:32:29.961Z	info	extensions/extensions.go:42	Extension started.	{"kind": "extension", "name": "observability"}
2025-10-08T17:32:29.961Z	info	service/service.go:91	Starting exporters...
2025-10-08T17:32:29.961Z	info	builder/exporters_builder.go:40	Exporter is starting...	{"kind": "exporter", "name": "uas"}
2025-10-08T17:32:29.962Z	info	builder/exporters_builder.go:48	Exporter started.	{"kind": "exporter", "name": "uas"}
2025-10-08T17:32:29.962Z	info	service/service.go:96	Starting processors...
2025-10-08T17:32:29.962Z	info	builder/pipelines_builder.go:52	Pipeline is starting...	{"pipeline_name": "metrics/resource_uas", "pipeline_datatype": "metrics"}
2025-10-08T17:32:29.962Z	info	builder/pipelines_builder.go:63	Pipeline is started.	{"pipeline_name": "metrics/resource_uas", "pipeline_datatype": "metrics"}
2025-10-08T17:32:29.973Z	info	service/service.go:101	Starting receivers...
